,SMA temperature filtered,Ambient temperature filtered,Force sensor filtered,Temperature derivative filtered
2821,56.64583462500984,24.69224172196735,726.2292034978254,14.13460039188372
2822,56.648004510201424,24.69221037701605,726.2227648671566,14.116601803166411
2823,56.650163837201035,24.69217915852311,726.2163052846896,14.098611631771458
2824,56.6523127849922,24.692148069548,726.2098246550827,14.0806302683641
2825,56.65445153031359,24.69211711312191,726.2033228913456,14.062658100580636
2826,56.65658024765003,24.69208629224748,726.1967999148294,14.04469551301127
2827,56.65869910922355,24.69205560989857,726.1902556552153,14.026742887183117
2828,56.66080828498463,24.69202506902001,726.1836900505017,14.008800601543388
2829,56.66290794260352,24.69199467252735,726.1771030469899,13.990869031442752
2830,56.66499824746171,24.691964423306636,726.1704945992689,13.972948549118868
2831,56.66707936264361,24.691934324214184,726.1638646701979,13.955039523680103
2832,56.669151448928304,24.69190437807637,726.1572132308893,13.937142321089416
2833,56.67121466478141,24.6918745876894,726.1505402606888,13.91925730414843
2834,56.673269166347204,24.691844955819118,726.1438457471545,13.901384832481682
2835,56.675315107440795,24.691815485200795,726.1371296860352,13.883525262521045
2836,56.677352639540445,24.691786178538933,726.1303920812472,13.86567894749035
2837,56.6793819117801,24.691757038507077,726.1236329448499,13.847846237390172
2838,56.681403070942,24.691728067747633,726.1168522970195,13.830027478982807
2839,56.68341626144949,24.69169926887169,726.1100501660229,13.812223015777423
2840,56.68542162535998,24.69167064445886,726.1032265881892,13.79443318801542
2841,56.68741930235797,24.6916421970571,726.0963816078794,13.776658332655948
2842,56.68940942974839,24.691613929182562,726.089515277456,13.758898783361632
2843,56.69139214244991,24.69158584331945,726.0826276572518,13.74115487048447
2844,56.69336757298857,24.691557941919857,726.0757188155353,13.723426921051932
2845,56.69533585149148,24.69153022740363,726.0687888284776,13.705715258753239
2846,56.69729710568062,24.691502702158235,726.0618377801158,13.68802020392584
2847,56.69925146086698,24.691475368538654,726.054865762316,13.670342073542074
2848,56.70119903994471,24.69144822886725,726.0478728747364,13.652681181196025
2849,56.703139963385446,24.691421285433652,726.040859224787,13.635037837090575
2850,56.70507434923286,24.69139454049465,726.0338249275891,13.617412348024642
2851,56.70700231309733,24.691367996274092,726.0267701059345,13.599805017380632
2852,56.708923968150785,24.6913416549628,726.0196948902417,13.582216145112058
2853,56.71083942512176,24.691315518718476,726.0125994185128,13.564646027731383
2854,56.712748792290505,24.691289589665626,726.0054838362876,13.547094958298043
2855,56.7146521754844,24.691263869895476,725.998348296598,13.529563226406683
2856,56.716549678073434,24.691238361465917,725.9911929599203,13.512051118175576
2857,56.7184414009659,24.691213066401442,725.984017994127,13.494558916235253
2858,56.720327442604294,24.691187986693077,725.9768235744368,13.477086899717333
2859,56.7222078989613,24.691163124298352,725.9696098833635,13.459635344243564
2860,56.72408286353604,24.691138481141255,725.9623771106652,13.442204521915043
2861,56.72595242735042,24.69111405911218,725.9551254532907,13.42479470130166
2862,56.727816678945736,24.69108986006792,725.9478551153255,13.40740614743175
2863,56.72967570437935,24.69106588583162,725.940566307937,13.390039121781939
2864,56.731529587221694,24.691042138192795,725.9332592493181,13.3726938822672
2865,56.733378408553264,24.691018618907297,725.9259341646302,13.35537068323112
2866,56.73522224696197,24.690995329697312,725.9185912859452,13.33806977543638
2867,56.737061178540564,24.690972272251372,725.9112308521858,13.32079140605543
2868,56.738895276884264,24.69094944822436,725.9038531090652,13.303535818661388
2869,56.740724613088624,24.690926859237525,725.8964583090266,13.286303253219142
2870,56.742549255747484,24.690904506878518,725.8890467111803,13.269093946076678
2871,56.744369270951196,24.69088239270139,725.8816185812409,13.2519081299566
2872,56.74618472228498,24.69086051822666,725.8741741914627,13.23474603394789
2873,56.74799567082748,24.690838884941346,725.8667138205743,13.217607883497854
2874,56.74980217514953,24.690817494299,725.8592377537136,13.200493900404314
2875,56.75160429131313,24.690796347719786,725.8517462823597,13.183404302807993
2876,56.753402072870465,24.690775446590507,725.8442397042652,13.16633930518513
2877,56.755195570863314,24.690754792264702,725.8367183233877,13.14929911834031
2878,56.75698483382256,24.6907343860627,725.8291824498197,13.132283949399522
2879,56.758769907767814,24.69071422927172,725.821632399718,13.115294001803417
2880,56.76055083620738,24.690694323145923,725.8140684952324,13.098329475300808
2881,56.762327660138304,24.690674668906528,725.8064910644325,13.081390565942385
2882,56.76410041804669,24.690655267741903,725.7989004412358,13.064477466074653
2883,56.76586914590811,24.690636120807667,725.7912969653327,13.047590364334091
2884,56.76763387718835,24.690617229226792,725.7836809821113,13.030729445641539
2885,56.769394642844205,24.690598594089735,725.7760528425825,13.013894891196813
2886,56.77115147132458,24.690580216454535,725.7684129033037,12.99708687847354
2887,56.77290438857175,24.69056209734695,725.7607615263007,12.980305581214232
2888,56.774653418022815,24.690544237760605,725.75309907899,12.963551169425566
2889,56.77639858061134,24.690526638657097,725.7454259341001,12.94682380937392
2890,56.778139894769254,24.690509300966166,725.7377424695917,12.93012366358112
2891,56.77987737642886,24.69049222558583,725.7300490685778,12.913450890820435
2892,56.78161103902511,24.690475413382565,725.7223461192424,12.896805646112776
2893,56.78334089349808,24.690458865191413,725.7146340147591,12.880188080723155
2894,56.78506694829561,24.6904425818162,725.7069131532085,12.863598342157358
2895,56.78678920937618,24.69042656402968,725.6991839374954,12.847036574158873
2896,56.78850768021199,24.690410812573717,725.6914467752648,12.830502916706024
2897,56.79022236179219,24.690395328159465,725.6837020788179,12.81399750600937
2898,56.79193325262639,24.69038011146757,725.6759502650273,12.797520474509316
2899,56.793640348748355,24.690365163148332,725.6681917552506,12.781071950873974
2900,56.79534364371983,24.690350483821938,725.6604269752452,12.764652059997262
2901,56.7970431286347,24.690336074078626,725.6526563550809,12.748260922997238
2902,56.79873879212323,24.69032193447893,725.6448803290532,12.73189865721467
2903,56.80043062035662,24.690308065553868,725.6370993355949,12.715565376211858
2904,56.80211859705169,24.69029446780517,725.629313817188,12.699261189771686
2905,56.80380270347578,24.6902811417055,725.6215242202746,12.68298620389691
2906,56.80548291845192,24.69026808769868,725.6137309951679,12.666740520809707
2907,56.80715921836413,24.690255306199912,725.6059345959617,12.650524238951455
2908,56.80883157716298,24.690242797596028,725.5981354804405,12.634337452982752
2909,56.81049996637134,24.690230562245727,725.5903341099881,12.618180253783692
2910,56.81216435509034,24.690218600479824,725.5825309494971,12.602052728454376
2911,56.81382471000555,24.69020691260149,725.5747264672766,12.585954960315677
2912,56.815480995393344,24.690195498886506,725.56692113496,12.569887028910237
2913,56.81713317312752,24.69018435958354,725.5591154274132,12.553849010003727
2914,56.81878120268609,24.690173494914387,725.5513098226405,12.537840975586345
2915,56.82042504115828,24.690162905074253,725.5435048016928,12.52186299387457
2916,56.82206464325177,24.690152590232007,725.5357008485728,12.505915129313156
2917,56.82369996130013,24.690142550530474,725.5278984501415,12.489997442577376
2918,56.825330945270466,24.690132786086707,725.5200980960241,12.47410999057553
2919,56.82695754277129,24.69012329699226,725.5123002785151,12.458252826451677
2920,56.828579699060576,24.690114083313492,725.5045054924839,12.442425999588645
2921,56.83019735705406,24.69010514509184,725.496714235279,12.426629555611278
2922,56.831810457333724,24.690096482344124,725.488927006633,12.410863536389941
2923,56.83341893815649,24.690088095062837,725.4811443085677,12.395127980044279
2924,56.83502273546319,24.690079983216446,725.4733666452967,12.379422920947217
2925,56.836621782887654,24.690072146749696,725.4655945231308,12.36374838972923
2926,56.838216011766065,24.690064585583915,725.4578284503809,12.348104413282854
2927,56.83980535114654,24.690057299617337,725.4500689372625,12.332491014767468
2928,56.841389727798855,24.690050288725406,725.4423164957977,12.316908213614305
2929,56.84296906622449,24.69004355276108,725.4345716397203,12.301356025531751
2930,56.844543288666785,24.690037091555173,725.4268348843779,12.285834462510875
2931,56.84611231512137,24.69003090491666,725.419106746635,12.270343532831225
2932,56.84767606334678,24.69002499263301,725.4113877447766,12.254883241066882
2933,56.84923444887528,24.69001935447051,725.4036783984105,12.23945358809277
2934,56.85078738502393,24.6900139901746,725.3959792283707,12.224054571091223
2935,56.852334782905835,24.69000889947019,725.3882907566199,12.208686183558807
2936,56.85387655144163,24.69000408206202,725.3806135061525,12.19334841531341
2937,56.855412597371156,24.68999953763498,725.3729480008974,12.17804125250158
2938,56.856942825265335,24.68999526585445,725.3652947656204,12.162764677606125
2939,56.8584671375383,24.68999126636665,725.3576543258279,12.147518669453975
2940,56.859985434459716,24.68998753879898,725.3500272076691,12.132303203224303
2941,56.86149761416732,24.68998408276036,725.3424139378393,12.117118250456908
2942,56.86300357267966,24.689980897841586,725.3348150434825,12.101963779060851
2943,56.86450320390902,24.689977983615677,725.3272310520952,12.086839753323352
2944,56.865996399674586,24.689975339638224,725.3196624914292,12.071746133918959
2945,56.86748304971587,24.68997296544774,725.312109889395,12.056682877918963
2946,56.86896304170626,24.689970860566024,725.3045737739652,12.041649938801084
2947,56.87043626126679,24.68996902449852,725.2970546730786,12.026647266459413
2948,56.871902591980174,24.689967456734657,725.2895531145438,12.011674807214616
2949,56.87336191540501,24.68996615674822,725.2820696259425,11.996732503824402
2950,56.8748141110902,24.6899651239977,725.2746047345352,11.98182029549424
2951,56.876259056589575,24.689964357926662,725.2671589671639,11.966938117888356
2952,56.87769662747671,24.689963857964123,725.2597328501586,11.952085903140986
2953,56.87912669735999,24.689963623524886,725.2523269092407,11.937263579867874
2954,56.880549137897866,24.68996365400992,725.2449416694296,11.922471073178052
2955,56.88196381881424,24.68996394880671,725.237577654947,11.907708304685865
2956,56.88337060791421,24.689964507289652,725.2302353891232,11.89297519252328
2957,56.884769371099864,24.68996532882038,725.2229153943035,11.878271651352428
2958,56.88615997238638,24.68996641274817,725.2156181917541,11.863597592378419
2959,56.8875422739183,24.689967758410276,725.2083443015692,11.848952923362434
2960,56.888916135985966,24.689969365132313,725.2010942425784,11.83433754863505
